particle_id,contacts
1,1138
2,2
3,2
4,1
5,1
6,1
7,2
8,1
9,2
10,2
11,1
13,2
14,2
15,2
16,2
17,1
18,1
19,2
20,1
21,1
22,3
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,2
31,1
32,1
33,1
34,2
35,1
36,2
37,1
38,1
39,2
40,1
41,3
42,2
43,3
44,2
45,2
46,1
48,1
49,1
50,1
51,3
52,2
53,2
54,2
55,1
56,2
57,2
58,1
59,2
60,2
61,2
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,2
71,2
72,2
73,2
74,1
75,1
76,1
77,2
78,1
79,2
80,2
81,1
82,2
83,1
84,1
85,2
86,2
87,3
88,2
89,1
90,2
91,1
92,1
93,1
94,1
95,2
96,2
97,5
98,2
99,2
100,2
101,1
102,1
103,2
104,2
105,2
106,1
107,1
108,1
109,1
110,2
111,2
112,1
113,2
114,1
115,1
116,1
117,1
118,2
119,1
120,1
121,1
122,1
123,2
124,1
125,3
126,2
127,2
128,1
129,1
130,3
131,3
132,1
133,1
134,1
135,1
136,3
137,3
138,1
139,1
140,3
141,1
142,1
143,1
144,1
145,1
146,2
147,2
148,2
149,1
150,1
151,1
152,1
153,3
154,2
155,1
156,3
157,4
158,3
159,1
160,1
161,4
162,1
163,2
164,1
165,1
166,1
167,2
168,1
169,1
170,1
171,4
172,4
173,1
174,1
175,2
176,2
177,1
178,1
179,4
180,1
181,1
182,1
183,2
184,1
185,1
186,1
187,2
188,2
189,2
190,1
191,1
192,2
193,1
194,1
195,2
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,2
209,2
210,1
211,1
212,1
213,1
214,2
215,1
216,1
217,1
218,1
219,1
220,2
221,1
222,2
223,1
224,1
225,1
226,3
227,3
228,2
229,1
230,1
231,3
232,1
233,1
234,1
235,2
236,2
237,2
238,1
239,2
240,2
241,1
242,1
243,1
244,1
245,1
246,1
247,2
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,2
258,1
259,1
260,2
261,2
262,2
263,1
264,1
265,2
266,1
267,1
268,1
269,1
270,1
271,1
272,2
273,1
274,2
275,2
276,1
277,1
278,2
279,1
280,1
281,1
282,1
283,1
284,2
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,3
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,2
306,1
307,1
308,2
309,1
310,1
311,1
312,1
313,2
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,2
325,1
326,1
327,1
328,1
329,1
330,2
331,2
332,1
333,1
334,1
335,1
336,2
337,2
338,1
339,1
340,2
341,1
342,1
343,2
344,1
345,1
346,1
347,1
348,1
349,2
350,2
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,2
363,2
364,1
365,2
366,1
367,1
368,1
369,2
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,2
380,3
381,1
382,1
383,1
384,2
385,1
386,2
387,3
388,3
389,1
390,1
391,1
392,1
393,1
394,2
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,2
403,1
404,1
405,2
406,2
407,1
408,1
409,1
410,1
411,1
412,2
413,3
414,1
415,2
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,2
430,2
431,1
432,2
433,1
434,1
435,2
436,1
437,1
438,2
439,1
440,3
441,1
442,1
443,1
444,2
445,5
446,1
447,1
448,1
449,1
450,1
451,2
452,1
453,3
454,6
455,4
456,1
457,1
458,1
459,1
460,6
461,1
462,1
463,1
464,4
465,1
466,1
467,1
468,1
469,2
470,1
471,1
472,1
473,2
474,1
475,4
476,1
477,2
478,1
479,1
480,2
481,1
482,1
483,2
484,1
485,1
486,2
487,2
488,1
489,1
490,1
491,1
492,1
493,2
494,2
495,2
496,1
497,2
498,1
499,1
500,1
501,1
502,2
503,2
504,2
505,1
506,1
507,2
508,1
509,3
510,3
511,1
512,1
513,1
514,1
515,3
516,1
517,1
518,1
519,1
520,1
521,2
522,3
523,1
524,1
525,1
526,1
527,2
528,1
529,2
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,2
545,3
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,1
555,2
556,4
557,1
558,3
559,1
560,2
561,2
562,1
563,1
564,3
565,4
566,2
567,2
568,1
569,1
570,1
571,3
572,2
573,2
574,2
575,1
576,3
577,4
578,2
579,1
580,2
581,1
582,1
583,1
584,1
585,2
586,1
587,4
588,2
589,1
590,1
591,1
592,1
593,2
594,4
595,4
596,1
597,2
